,date_dt,date_hr,positive_count,negative_count,neutral_count,positive_avg_score,negative_avg_score,neutral_avg_score,total_news_count,total_news_score,signal
79,2021-08-18,17,1.0,0.0,0.0,0.89415043592453,0.0,0.0,1.0,0.89415043592453,1.0
80,2021-08-18,18,1.0,0.0,0.0,0.9699389338493347,0.0,0.0,1.0,0.9699389338493347,1.0
81,2021-08-20,12,1.0,0.0,0.0,0.6291724443435669,0.0,0.0,1.0,0.6291724443435669,1.0
82,2021-08-22,23,1.0,0.0,0.0,0.8774409890174866,0.0,0.0,1.0,0.8774409890174866,1.0
83,2021-08-23,9,1.0,0.0,0.0,0.5849841237068176,0.0,0.0,1.0,0.5849841237068176,1.0
84,2021-08-23,10,1.0,0.0,0.0,0.9389824271202087,0.0,0.0,1.0,0.9389824271202087,1.0
85,2021-08-23,11,1.0,0.0,0.0,0.9594050645828247,0.0,0.0,1.0,0.9594050645828247,1.0
86,2021-08-23,12,1.0,0.0,0.0,0.7864643335342407,0.0,0.0,1.0,0.7864643335342407,1.0
87,2021-08-25,8,1.0,0.0,0.0,0.7836623191833496,0.0,0.0,1.0,0.7836623191833496,1.0
88,2021-08-29,14,1.0,0.0,0.0,0.982100784778595,0.0,0.0,1.0,0.982100784778595,1.0
89,2021-09-01,7,1.0,0.0,0.0,0.6654804944992065,0.0,0.0,1.0,0.6654804944992065,1.0
90,2021-09-02,8,1.0,0.0,0.0,0.9083002805709839,0.0,0.0,1.0,0.9083002805709839,1.0
91,2021-09-03,13,2.0,0.0,0.0,0.5622475445270538,0.0,0.0,2.0,1.1244950890541077,1.0
92,2021-09-03,14,1.0,0.0,0.0,0.5925307869911194,0.0,0.0,1.0,0.5925307869911194,1.0
93,2021-09-03,15,1.0,0.0,0.0,0.9344009757041931,0.0,0.0,1.0,0.9344009757041931,1.0
94,2021-10-05,12,1.0,0.0,0.0,0.7381594777107239,0.0,0.0,1.0,0.7381594777107239,1.0
95,2021-10-05,13,1.0,0.0,0.0,0.8598482608795166,0.0,0.0,1.0,0.8598482608795166,1.0
96,2021-10-06,7,2.0,0.0,0.0,0.9187683165073395,0.0,0.0,2.0,1.837536633014679,1.0
97,2021-10-06,11,1.0,0.0,0.0,0.9729840159416199,0.0,0.0,1.0,0.9729840159416199,1.0
98,2021-10-06,12,2.0,0.0,0.0,0.7610608339309692,0.0,0.0,2.0,1.5221216678619385,1.0
99,2021-10-06,13,1.0,0.0,0.0,0.9637055993080139,0.0,0.0,1.0,0.9637055993080139,1.0
100,2021-10-07,11,1.0,0.0,0.0,0.9079630374908447,0.0,0.0,1.0,0.9079630374908447,1.0
101,2021-10-07,14,1.0,0.0,0.0,0.9079630374908447,0.0,0.0,1.0,0.9079630374908447,1.0
102,2021-10-08,14,1.0,0.0,1.0,0.9604106545448303,0.0,0.9504693746566772,2.0,0.9604106545448303,1.0
103,2021-10-11,9,1.0,0.0,0.0,0.9327843189239502,0.0,0.0,1.0,0.9327843189239502,1.0
104,2021-10-11,15,1.0,0.0,0.0,0.832346498966217,0.0,0.0,1.0,0.832346498966217,1.0
105,2021-10-13,9,1.0,0.0,0.0,0.9729934930801392,0.0,0.0,1.0,0.9729934930801392,1.0
106,2021-10-14,10,1.0,0.0,0.0,0.7991880178451538,0.0,0.0,1.0,0.7991880178451538,1.0
107,2021-10-14,12,1.0,0.0,0.0,0.6098555326461792,0.0,0.0,1.0,0.6098555326461792,1.0
108,2021-10-14,16,1.0,0.0,0.0,0.7088004350662231,0.0,0.0,1.0,0.7088004350662231,1.0
109,2021-10-15,5,1.0,0.0,0.0,0.6359037160873413,0.0,0.0,1.0,0.6359037160873413,1.0
110,2021-10-15,13,1.0,0.0,0.0,0.7675459980964661,0.0,0.0,1.0,0.7675459980964661,1.0
111,2021-10-15,16,1.0,0.0,0.0,0.9321056604385376,0.0,0.0,1.0,0.9321056604385376,1.0
112,2021-10-15,19,1.0,0.0,0.0,0.9301579594612122,0.0,0.0,1.0,0.9301579594612122,1.0
113,2021-10-18,9,1.0,0.0,0.0,0.4942852556705475,0.0,0.0,1.0,0.4942852556705475,1.0
114,2021-10-18,13,1.0,0.0,1.0,0.8419040441513062,0.0,0.6440713405609131,2.0,0.8419040441513062,1.0
115,2021-10-18,14,1.0,0.0,0.0,0.9333425164222717,0.0,0.0,1.0,0.9333425164222717,1.0
116,2021-10-18,16,1.0,0.0,0.0,0.9333425164222717,0.0,0.0,1.0,0.9333425164222717,1.0
117,2021-10-18,19,1.0,0.0,0.0,0.9144500494003296,0.0,0.0,1.0,0.9144500494003296,1.0
118,2021-10-19,3,1.0,0.0,0.0,0.6407039761543274,0.0,0.0,1.0,0.6407039761543274,1.0
119,2021-10-19,12,1.0,0.0,1.0,0.9144500494003296,0.0,0.48524826765060425,2.0,0.9144500494003296,1.0
120,2021-10-19,13,1.0,0.0,1.0,0.8158754706382751,0.0,0.9541615843772888,2.0,0.8158754706382751,1.0
121,2021-10-20,9,1.0,0.0,0.0,0.8363440036773682,0.0,0.0,1.0,0.8363440036773682,1.0
122,2021-10-20,10,3.0,0.0,0.0,0.7305766145388285,0.0,0.0,3.0,2.1917298436164856,1.0
123,2021-10-20,11,1.0,0.0,0.0,0.8188843727111816,0.0,0.0,1.0,0.8188843727111816,1.0
124,2021-10-20,13,2.0,0.0,0.0,0.8758793473243713,0.0,0.0,2.0,1.7517586946487427,1.0
125,2021-10-20,15,1.0,0.0,0.0,0.9016782641410828,0.0,0.0,1.0,0.9016782641410828,1.0
126,2021-10-20,18,1.0,1.0,0.0,0.9272499680519104,0.5666608810424805,0.0,2.0,0.36058908700942993,0.0
127,2021-10-21,17,1.0,0.0,0.0,0.6837692260742188,0.0,0.0,1.0,0.6837692260742188,1.0
128,2021-10-21,18,1.0,0.0,0.0,0.7844241261482239,0.0,0.0,1.0,0.7844241261482239,1.0
129,2021-10-22,12,1.0,0.0,0.0,0.8939734697341919,0.0,0.0,1.0,0.8939734697341919,1.0
130,2021-10-25,13,1.0,0.0,0.0,0.9224520921707153,0.0,0.0,1.0,0.9224520921707153,1.0
131,2021-10-25,15,1.0,1.0,0.0,0.9081966876983643,0.7405864596366882,0.0,2.0,0.16761022806167603,0.0
132,2021-10-25,17,1.0,0.0,0.0,0.7963884472846985,0.0,0.0,1.0,0.7963884472846985,1.0
133,2021-10-25,21,1.0,0.0,1.0,0.8866909742355347,0.0,0.9881417155265808,2.0,0.8866909742355347,1.0
134,2021-10-28,11,3.0,0.0,0.0,0.7091785470644633,0.0,0.0,3.0,2.12753564119339,1.0
135,2021-10-28,13,1.0,0.0,0.0,0.49866586923599243,0.0,0.0,1.0,0.49866586923599243,1.0
136,2021-10-28,21,1.0,0.0,0.0,0.5052955150604248,0.0,0.0,1.0,0.5052955150604248,1.0
137,2021-10-28,23,1.0,0.0,0.0,0.6495753526687622,0.0,0.0,1.0,0.6495753526687622,1.0
138,2021-10-31,23,1.0,0.0,0.0,0.5064554214477539,0.0,0.0,1.0,0.5064554214477539,1.0
139,2021-11-04,16,1.0,0.0,0.0,0.9378513693809509,0.0,0.0,1.0,0.9378513693809509,1.0
140,2021-11-08,7,1.0,0.0,0.0,0.829529345035553,0.0,0.0,1.0,0.829529345035553,1.0
141,2021-11-08,11,1.0,0.0,0.0,0.6307379007339478,0.0,0.0,1.0,0.6307379007339478,1.0
142,2021-11-09,7,2.0,1.0,0.0,0.9198817908763885,0.3963397145271301,0.0,3.0,1.443423867225647,0.3333333333333333
143,2021-11-09,8,1.0,0.0,0.0,0.9562140703201294,0.0,0.0,1.0,0.9562140703201294,1.0
144,2021-11-09,9,1.0,0.0,0.0,0.9553788900375366,0.0,0.0,1.0,0.9553788900375366,1.0
145,2021-11-10,10,1.0,0.0,0.0,0.9786210060119629,0.0,0.0,1.0,0.9786210060119629,1.0
146,2021-11-17,15,1.0,0.0,0.0,0.9479796886444092,0.0,0.0,1.0,0.9479796886444092,1.0
