,date_dt,positive_count,negative_count,neutral_count,positive_avg_score,negative_avg_score,neutral_avg_score,total_news_count,total_news_score,signal
220,2023-06-28,2.0,0.0,1.0,0.8175868093967438,0.0,0.9662951231002808,3.0,1.6351736187934875,1.0
221,2023-06-29,1.0,2.0,2.0,0.7889988422393799,0.9428455233573914,0.7910338640213013,5.0,-1.0966922044754028,-0.3333333333333333
222,2023-07-02,1.0,0.0,1.0,0.9099678993225098,0.0,0.7488923072814941,2.0,0.9099678993225098,1.0
223,2023-07-03,4.0,0.0,5.0,0.7629203647375107,0.0,0.7813972473144531,9.0,3.0516814589500427,1.0
224,2023-07-04,2.0,1.0,2.0,0.8268601596355438,0.8958486914634705,0.6942062377929688,5.0,0.7578716278076172,0.3333333333333333
225,2023-07-05,2.0,1.0,1.0,0.7323009967803955,0.5890159606933594,0.9592847228050232,4.0,0.8755860328674316,0.3333333333333333
226,2023-07-06,2.0,0.0,3.0,0.7606547474861145,0.0,0.8657663861910502,5.0,1.521309494972229,1.0
227,2023-07-07,1.0,0.0,2.0,0.902449369430542,0.0,0.9173368513584137,3.0,0.902449369430542,1.0
228,2023-07-08,2.0,0.0,1.0,0.7859511077404022,0.0,0.9377399682998657,3.0,1.5719022154808044,1.0
229,2023-07-10,3.0,0.0,3.0,0.7484608093897501,0.0,0.7372719446818033,6.0,2.2453824281692505,1.0
230,2023-07-11,3.0,0.0,1.0,0.9716174999872843,0.0,0.6228280067443848,4.0,2.914852499961853,1.0
231,2023-07-12,2.0,0.0,0.0,0.8455171287059784,0.0,0.0,2.0,1.6910342574119568,1.0
232,2023-07-13,3.0,1.0,1.0,0.725610097249349,0.7235892415046692,0.9585931897163391,5.0,1.4532410502433777,0.5
233,2023-07-14,1.0,1.0,3.0,0.736477792263031,0.9582165479660034,0.7775747974713644,5.0,-0.2217387557029724,0.0
234,2023-07-19,2.0,0.0,1.0,0.7278184592723846,0.0,0.8300399780273438,3.0,1.4556369185447693,1.0
235,2023-07-20,1.0,1.0,3.0,0.790397584438324,0.9925563931465149,0.7888450622558594,5.0,-0.20215880870819092,0.0
236,2023-07-21,2.0,1.0,1.0,0.8988628387451172,0.9748426675796509,0.6777421832084656,4.0,0.8228830099105835,0.3333333333333333
237,2023-07-28,1.0,0.0,0.0,0.7039065957069397,0.0,0.0,1.0,0.7039065957069397,1.0
238,2023-07-31,1.0,2.0,4.0,0.822476327419281,0.8457720279693604,0.7619161158800125,7.0,-0.8690677285194397,-0.3333333333333333
239,2023-08-02,1.0,0.0,1.0,0.6694502830505371,0.0,0.8978058695793152,2.0,0.6694502830505371,1.0
240,2023-08-16,1.0,0.0,2.0,0.8301357626914978,0.0,0.9663117229938507,3.0,0.8301357626914978,1.0
241,2023-08-21,1.0,0.0,0.0,0.897741973400116,0.0,0.0,1.0,0.897741973400116,1.0
242,2023-08-22,1.0,0.0,1.0,0.656745433807373,0.0,0.983112633228302,2.0,0.656745433807373,1.0
243,2023-08-24,1.0,0.0,0.0,0.6660314202308655,0.0,0.0,1.0,0.6660314202308655,1.0
244,2023-08-29,6.0,1.0,5.0,0.8759516576925913,0.5061262845993042,0.8760017037391663,12.0,4.749583661556244,0.7142857142857143
245,2023-08-30,4.0,1.0,5.0,0.786040186882019,0.9048556089401245,0.6969938397407531,10.0,2.2393051385879517,0.6
246,2023-09-06,2.0,1.0,0.0,0.888438493013382,0.8140828013420105,0.0,3.0,0.9627941846847534,0.3333333333333333
247,2023-09-12,2.0,2.0,1.0,0.6094920039176941,0.8922034800052643,0.6322224140167236,5.0,-0.5654229521751404,0.0
248,2023-09-14,1.0,0.0,1.0,0.5954468250274658,0.0,0.9767584800720215,2.0,0.5954468250274658,1.0
249,2023-09-20,1.0,1.0,2.0,0.6620100140571594,0.8558722138404846,0.7139584720134735,4.0,-0.1938621997833252,0.0
250,2023-09-22,1.0,2.0,0.0,0.9540148973464966,0.7036873698234558,0.0,3.0,-0.45335984230041504,-0.3333333333333333
251,2023-09-25,1.0,0.0,2.0,0.6934564709663391,0.0,0.9721716642379761,3.0,0.6934564709663391,1.0
252,2023-10-02,3.0,0.0,0.0,0.9166586796442667,0.0,0.0,3.0,2.7499760389328003,1.0
253,2023-10-12,1.0,0.0,1.0,0.5550258159637451,0.0,0.9620431065559387,2.0,0.5550258159637451,1.0
254,2023-10-16,4.0,0.0,1.0,0.8253405392169952,0.0,0.9715263247489929,5.0,3.301362156867981,1.0
255,2023-10-18,2.0,1.0,1.0,0.6258188486099243,0.8409672379493713,0.6481067538261414,4.0,0.4106704592704773,0.3333333333333333
256,2023-10-20,4.0,0.0,1.0,0.8885140269994736,0.0,0.5538003444671631,5.0,3.5540561079978943,1.0
257,2023-10-22,1.0,0.0,0.0,0.6858037114143372,0.0,0.0,1.0,0.6858037114143372,1.0
258,2023-10-23,4.0,0.0,2.0,0.8016102761030197,0.0,0.7190559506416321,6.0,3.206441104412079,1.0
259,2023-10-24,6.0,1.0,5.0,0.8289271791776022,0.8900722861289978,0.7880910217761994,12.0,4.083490788936615,0.7142857142857143
260,2023-10-25,1.0,0.0,1.0,0.9501441717147827,0.0,0.9764553904533386,2.0,0.9501441717147827,1.0
261,2023-10-26,2.0,1.0,1.0,0.8193081915378571,0.9667127132415771,0.8159988522529602,4.0,0.671903669834137,0.3333333333333333
262,2023-10-27,2.0,0.0,0.0,0.8060532212257385,0.0,0.0,2.0,1.612106442451477,1.0
263,2023-10-30,1.0,0.0,0.0,0.7582310438156128,0.0,0.0,1.0,0.7582310438156128,1.0
264,2023-10-31,1.0,0.0,1.0,0.7833585739135742,0.0,0.6366351842880249,2.0,0.7833585739135742,1.0
265,2023-11-01,1.0,0.0,0.0,0.6974198818206787,0.0,0.0,1.0,0.6974198818206787,1.0
266,2023-11-02,1.0,0.0,1.0,0.8614487648010254,0.0,0.5010568499565125,2.0,0.8614487648010254,1.0
267,2023-11-09,5.0,0.0,1.0,0.8944624543190003,0.0,0.9727327823638916,6.0,4.472312271595001,1.0
